LABEL,TEXT
13_QUESTION,Outcome variable(s)
13_EXPLAIN,"Define your outcome or dependent variable(s). If your outcome measurements are constructed from multiple measurements, you will be asked later on to describe how they are created."
13_HELP,The single outcome variable will be the perceived tastiness of the single brownie each participant will eat.
13_NAV,Outcomes
14_QUESTION,Covariates
14_EXPLAIN,"Describe any covariates. If applicable, and not mentioned above, what covariates, controls, or other variables will you measure?"
14_HELP,"We will be collecting basic demographic information from each participant (age, household income, education level, housing zipcode, and marital status) and use that information for exploratory data investigation to determine if taste perception may be easily predicted. Any suggestive correlations may be the subject of future, confirmatory investigations."
14_NAV,Covariates
15_QUESTION,Randomization
15_EXPLAIN,"If you are doing a randomized study, how will you randomize, and at what level? There are many different randomization techniques."
15_HELP,"We will use block randomization, where each participant will be randomly assigned to one of the four equally sized, predetermined blocks. The random number list used to create these four blocks will e created using the web applications available at http://random.org."
15_NAV,Randomization
16_QUESTION,Constructing predictor variables
16_EXPLAIN,"Sometimes, a main predictor will not be a single measurement, but an index made from several other measurements. What measures will you use and how will they be combined to make your predictor variable(s)."
16_HELP,The predictor variable (percent sugar) will not be constructed from multiple measures.
16_NAV,Constructing Predictors
17_QUESTION,Constructing outcome variables
17_EXPLAIN,"Just as with the previous question, how will specific measures be combined to create your ouctome variable(s)?"
17_HELP,"As taste perception is a complex variable, we will measure it by taking each users geometric mean response from three widely used indices of tastiness: the Tasty Measure Index of Sweetness (1-100 scale), the Yum Scale of Enjoyability (1-10 scale), and the Aural Pleasure Rating of Foods (1-20 scale). A geometric mean will be used because of the scale variation between each of the three indices."
17_NAV,Constructing Outcomes
18_QUESTION,Statistical models
18_EXPLAIN,"What statistical model(s) will you use to test your hypothesis(ses)? Please include the type of model (e.g. ANOVA, regression, SEM, etc) as well as the specification of the model (e.g. what variables will be included, and if they will be transformed or centered in any way). If you are using a method other than null hypothesis significance testing, such as a Bayesian method, provide the criteria you will use for making an evidence-based conclusion. Include likely alternative analyses or data transformations. This may be another item where a decision tree could be helpful."
18_HELP,"We will use a 1x4 ANOVA to analyze our results. The categorical independent variable is ""sugar whereas the dependent variable, ""taste, is continuous. If the the ANOVA indicates that the mean taste perceptions are significantly different (p<.05), then we will use a Tukey-Kramer HSD test to determine the differences between levels. We will test the assumption of the ANOVA on equal group variance using the Bartlett test and use a Kruskal-Wallis if p<.05."
18_NAV,Statistical Models
19_QUESTION,Data exclusion
19_EXPLAIN,"How will you determine what data or samples (if any) to exclude from your analyses? How will outliers be handled? You may want to attach a decision tree with an ""if, then"" structure to easily formalize the way in which these decisions will be made."
19_HELP,No checks will be performed to determine eligibility for inclusion besides verification that each subject answered each of the three tastiness indices. Outliers will be included in the analysis.
19_NAV,Data Exclusion
20_QUESTION,Incomplete or missing data
20_EXPLAIN,How will you deal with incomplete or missing data? Many studies will have missing data points. How you cope with these missing points is important because it can affect the result of your analysis.
20_HELP,"If any of the three indices of tastiness are not completed by a subject, that subject will not be included in the analysis."
20_NAV,Missing Data
21_QUESTION,Multiple comparisons
21_EXPLAIN,"If you are comparing multiple conditions or testing multiple hypotheses, how will you account for this? "
21_HELP,"The only possible instance of requiring adjustment or acknowledgement of multiple comparisons would be the six combinations among the four levels of the independent variable tested in the ANOVA, which will only be investigated if indicated by the ANOVA results by a Tukey HSD."
21_NAV,Multiple Comparisons
22_QUESTION,(Optional) Upload an analysis script with clear comments.
22_EXPLAIN,(Optional) Upload an analysis script with clear comments. This optional step is helpful in order to create a process that is completely transparent and increase the likelihood that your analysis can be replicated. We recommend that you run the code on a simulated dataset in order to check that it will run without errors.
22_HELP,Here is a link to the R script that we will use to run the ANOVA. It also contains the code for the Tukey HSD we will run if needed. https://osf.io/kexgi/
22_NAV,Analysis Script
